LIME MSE 1,SHAP MSE 1,Symbolic MSE 1,LIME MSE 2,SHAP MSE 2,Symbolic MSE 2,,,,AVG,STD
0.6902264566,0.6738154053,1.65660838208073E-06,0.3612685006,0.3442055343,1.65660835046826E-06,,,,,
0.658267351,0.6583549206,2.17105156497156E-05,0.3319322366,0.3332678681,2.17105156396534E-05,,,,,
0.6883934311,0.6760649505,0.002731597,0.3611301059,0.3503030458,2.56031492089069E-05,,,,,
0.5152088229,0.5354115308,3.56306392905113E-05,0.2155226848,0.2355318758,3.56306392065925E-05,,,,,
0.6521359162,0.6653599955,1.63966151090546E-06,0.3286347296,0.3420854769,1.63966150825841E-06,,,,,
0.5699445511,0.6182035531,1.59086858568946E-05,0.244318503,0.2889424949,1.59086857967695E-05,,,,,
0.7531596513,0.7424995772,5.27642233776336E-05,0.4398525322,0.4296015795,5.27642233269984E-05,,,,,
0.6383620493,0.6223230824,1.92907469425782E-05,0.3125089737,0.2949191617,1.92907468776199E-05,,,,,
0.6585701849,0.6598104504,1.59967735980409E-06,0.3270214724,0.3272192788,1.59967729447276E-06,,,,,
0.582146478,0.617502667,1.72974731485889E-06,0.2647984823,0.3016508125,1.72974731244435E-06,,,,,
0.4246278972,0.4351115169,0.000008727,0.1398238742,0.1457540123,0.000008727,,,,,
0.5624844472,0.5844823806,1.74455042008678E-05,0.2499256506,0.2672708972,1.74455041381557E-05,,,,,
0.8056290429,0.7915974682,0.0226410967,0.496792288,0.4776678779,0.0007527048,,,,,
0.6827023943,0.6518811254,0.0898667784,0.3544408212,0.3256903476,0.0094180211,,,,,
0.7825028092,0.7835952361,0.0529652537,0.466932687,0.4710198819,0.0036963401,,,,,
0.7091369067,0.730611106,0.0192102103,0.3788764472,0.4013282221,0.0040769829,,,,,
0.6501462989,0.6343179895,1.11043235357581E-05,0.317561572,0.3023296427,1.11043235143857E-05,,,,,
0.6327687493,0.6172568557,2.76233438004152E-05,0.3056628277,0.2879833349,2.76233437779405E-05,,,,,
0.6818937526,0.6873410252,1.75942331983985E-05,0.3571490048,0.3592647684,1.75942331268341E-05,,,,,
0.6308263691,0.6353786127,3.57982420878278E-06,0.308563425,0.3117909904,3.57982419811131E-06,,,,,
0.5358389506,0.5575523201,4.00454251714859E-05,0.2588407042,0.2768008946,4.00454251144714E-05,,,,,
0.6772131517,0.6854439709,4.27147451294389E-06,0.3461719581,0.354545448,4.27147450907657E-06,,,,,
0.7174494953,0.6975545098,8.16486834299895E-09,0.3901994181,0.3706620411,8.16486781207938E-09,,,,,
0.6106875946,0.5650260119,6.44464653806354E-09,0.2812795448,0.2405082213,6.44464651030907E-09,,,,,
0.5501871592,0.5641704155,0.1092356869,0.2393385756,0.2529249601,0.0661684482,,,,,
0.7147972365,0.7197793199,1.43382978390417E-05,0.3906299535,0.3981347804,1.43382978080783E-05,,,,,
0.4593151155,0.4586380262,1.09987779029868E-05,0.1813520756,0.1762941147,1.09987778117795E-05,,,,,
0.6537515862,0.6677796861,1.10544134377871E-05,0.3457074287,0.3500341945,1.10544134069737E-05,,,,,
0.6186586064,0.6357987699,0.2926869168,0.3167663996,0.3283401839,0.0793584529,,,,,
0.7575213935,0.7747411616,0.0475265224,0.4613002956,0.4730980075,0.0142308947,,,,,
0.5321101646,0.5161674376,0.000004368,0.2161160904,0.2051522697,0.000004368,,,,,
0.5237929983,0.5651980263,2.32910761345953E-06,0.219819963,0.2541052356,2.32910756673679E-06,,,,,
0.7699427326,0.7808515373,0.0531643906,0.4447231779,0.4575839254,0.0027177605,,,,,
0.5960535137,0.5874197809,0.000000724,0.2965983391,0.284978921,0.000000724,,,,,
0.6860346732,0.6920559866,0.0785227025,0.3570635182,0.3652036649,0.058064504,,,,,
0.7306297795,0.7207964823,3.24362916614904E-06,0.4034338978,0.3929462062,3.2436291454362E-06,,,,,
0.6651184021,0.6354948213,1.59146862382558E-05,0.3364690159,0.3062636864,1.59146861416948E-05,,,,,
0.6765979309,0.6777862487,1.49160622534977E-05,0.3435261806,0.3446341565,1.49160621879938E-05,,,,,
0.6098263127,0.6091528861,0.0167181174,0.2888345737,0.2813118853,0.006805599,,,,,
0.7433445125,0.7129750983,0.1922003073,0.4152636723,0.3828022621,0.0293510164,,,,,
0.6949742782,0.6919740223,0.0444447378,0.3749009586,0.3716392656,0.0014817748,,,,,
0.5637323588,0.56727793,8.45159507120007E-06,0.2420766847,0.243581221,8.45159505385455E-06,,,,,
0.7498117109,0.7444369001,0.000001668,0.4216909224,0.4158982528,0.000001668,,,,,
0.639689432,0.6334315569,7.92085058288427E-06,0.3075799702,0.3022856181,7.92085057328993E-06,,,,,
0.6373134036,0.6386363171,3.50263184460164E-06,0.3064407843,0.3076461261,3.50263183143236E-06,,,,,
0.6979341365,0.7038055934,6.35117441195589E-05,0.3814079115,0.3878970737,6.35117438305063E-05,,,,,
0.6843835153,0.7468993423,1.49174046990938E-05,0.3639556421,0.430708207,1.49174046781024E-05,,,,,
0.6797239026,0.6998169239,0.0201446364,0.3551051008,0.3762647836,0.0096880183,,,,,
0.6033619954,0.6017490898,3.03066019668348E-05,0.2807294696,0.2827688538,3.0306601867943E-05,,,,,
0.6394831877,0.6347161423,1.04513485093552E-05,0.3589518191,0.3309163779,1.04513484850158E-05,,,,,
0.6237595732,0.5966513641,4.5263007114919E-06,0.3159871659,0.285792168,4.52630069906789E-06,,,,,
0.5396854068,0.5267571326,0.000000253,0.2203214173,0.2090914516,0.000000253,,,,,
0.6693606452,0.71666666,0.000011295,0.3384986398,0.3875950803,0.000011295,,,,,
0.7036434002,0.68241167,1.28183554929649E-05,0.375199031,0.3525499731,1.28183554916681E-05,,,,,
0.6140855582,0.6064397413,4.36808628543245E-09,0.2916167818,0.2901055608,4.36808628536784E-09,,,,,
0.6343559447,0.652132005,5.24832515136868E-07,0.3063119586,0.3257003347,5.24832492594742E-07,,,,,
0.653160908,0.6288278957,0.103562073,0.323715828,0.3034306152,0.0279173394,,,,,
0.6749778298,0.6613516808,0.1747357623,0.3429912798,0.3302868116,0.0466918819,,,,,
0.7925594186,0.748334111,1.07371595103748E-05,0.4716887265,0.4200476488,1.07371594374085E-05,,,,,
0.8355730997,0.8357347251,1.93022741517498E-05,0.5298287979,0.531212739,1.93022741059114E-05,,,,,
0.5998328984,0.6003728167,1.25587674228121E-05,0.2710897397,0.2732433763,1.25587674227591E-05,,,,,
0.7525649334,0.7175360623,0.0901619187,0.4262628444,0.3870153778,0.008494673,,,,,
0.6371673878,0.6065793945,0.0342152371,0.3140182762,0.2813270163,0.0012806665,,,,,
0.5679405607,0.600514101,0.0212085993,0.2760804476,0.2956164961,0.0016510107,,,,,
0.6117777085,0.6321861301,0.0672298601,0.2813481816,0.3012473413,0.0063691615,,,,,
0.6521792622,0.6601061805,0.0966036045,0.3219513723,0.328333433,0.0101079054,,,,,
